Height,Weight,Gender,BMI Class,Calories Maintained,Diet
173,89,Female,1,2918,"Breakfast: Turkey sandwich, veggies, Lunch: Greek yogurt with berries, Dinner: Grilled chicken salad, Snacks: Rice cakes with peanut butter"
186,98,Female,3,2270,"Breakfast: Grilled chicken, quinoa, Lunch: Baked sweet potatoes with chicken, Dinner: Baked salmon, steamed broccoli, Snacks: Handful of mixed nuts"
185,103,Female,4,1840,"Breakfast: Smoothie with spinach, banana, Lunch: Smoothie with spinach, banana, Dinner: Grilled fish, salad, Snacks: Rice cakes with peanut butter"
169,51,Male,3,3000,"Breakfast: Baked salmon, steamed broccoli, Lunch: Baked sweet potatoes with chicken, Dinner: Baked sweet potatoes with chicken, Snacks: Carrot sticks with hummus"
177,67,Female,0,2519,"Breakfast: Oatmeal with fruits, Lunch: Fruit smoothie, Dinner: Low-fat yogurt with honey, Snacks: Handful of mixed nuts"
159,81,Female,5,1689,"Breakfast: Protein shake, almond butter toast, Lunch: Lean beef, roasted vegetables, Dinner: Protein bar, Snacks: Rice cakes with peanut butter"
162,110,Female,2,1798,"Breakfast: Chicken wrap with veggies, Lunch: Stir-fried tofu, brown rice, Dinner: Stir-fried tofu, brown rice, Snacks: Trail mix"
172,107,Male,2,2163,"Breakfast: Grilled salmon with quinoa, Lunch: Chicken wrap with veggies, Dinner: Scrambled eggs, whole wheat bread, Snacks: Trail mix"
153,113,Male,4,1898,"Breakfast: Grilled fish, salad, Lunch: Smoothie with spinach, banana, Dinner: Grilled fish, salad, Snacks: Carrot sticks with hummus"
188,88,Male,3,2436,"Breakfast: Baked sweet potatoes with chicken, Lunch: Baked sweet potatoes with chicken, Dinner: Grilled chicken, quinoa, Snacks: Greek yogurt with granola"
165,80,Male,3,2390,"Breakfast: Baked sweet potatoes with chicken, Lunch: Greek yogurt with nuts, Dinner: Grilled chicken, quinoa, Snacks: Protein bar"
171,99,Male,1,1488,"Breakfast: Greek yogurt with berries, Lunch: Whole grain toast, avocado, Dinner: Whole grain toast, avocado, Snacks: Greek yogurt with granola"
158,62,Female,4,2177,"Breakfast: Quinoa salad with feta cheese, Lunch: Chicken breast with steamed veggies, Dinner: Chicken breast with steamed veggies, Snacks: Protein bar"
173,51,Female,4,1949,"Breakfast: Quinoa salad with feta cheese, Lunch: Smoothie with spinach, banana, Dinner: Quinoa salad with feta cheese, Snacks: Trail mix"
158,51,Male,3,1256,"Breakfast: Baked salmon, steamed broccoli, Lunch: Grilled chicken, quinoa, Dinner: Baked sweet potatoes with chicken, Snacks: Carrot sticks with hummus"
178,51,Male,1,1352,"Breakfast: Turkey sandwich, veggies, Lunch: Greek yogurt with berries, Dinner: Turkey sandwich, veggies, Snacks: Rice cakes with peanut butter"
181,78,Male,5,1947,"Breakfast: Protein shake, almond butter toast, Lunch: Protein shake, almond butter toast, Dinner: Lean beef, roasted vegetables, Snacks: Carrot sticks with hummus"
162,65,Male,3,2056,"Breakfast: Greek yogurt with nuts, Lunch: Greek yogurt with nuts, Dinner: Baked sweet potatoes with chicken, Snacks: Rice cakes with peanut butter"
165,55,Female,1,3000,"Breakfast: Grilled chicken salad, Lunch: Turkey sandwich, veggies, Dinner: Grilled chicken salad, Snacks: Trail mix"
161,40,Female,5,2638,"Breakfast: Protein bar, Lunch: Lean beef, roasted vegetables, Dinner: Lean beef, roasted vegetables, Snacks: Greek yogurt with granola"
168,48,Male,2,2110,"Breakfast: Stir-fried tofu, brown rice, Lunch: Chicken wrap with veggies, Dinner: Scrambled eggs, whole wheat bread, Snacks: Rice cakes with peanut butter"
171,118,Female,5,2254,"Breakfast: Fish with steamed vegetables, brown rice, Lunch: Protein shake, almond butter toast, Dinner: Protein bar, Snacks: Carrot sticks with hummus"
150,62,Male,0,2121,"Breakfast: Fruit smoothie, Lunch: Fruit smoothie, Dinner: Boiled egg with spinach, Snacks: Trail mix"
185,111,Female,4,2869,"Breakfast: Smoothie with spinach, banana, Lunch: Chicken breast with steamed veggies, Dinner: Smoothie with spinach, banana, Snacks: Protein bar"
181,77,Female,5,2017,"Breakfast: Lean beef, roasted vegetables, Lunch: Protein bar, Dinner: Lean beef, roasted vegetables, Snacks: Rice cakes with peanut butter"
166,78,Male,0,2334,"Breakfast: Low-fat yogurt with honey, Lunch: Oatmeal with fruits, Dinner: Boiled egg with spinach, Snacks: Carrot sticks with hummus"
155,75,Male,2,2560,"Breakfast: Chicken wrap with veggies, Lunch: Grilled salmon with quinoa, Dinner: Stir-fried tofu, brown rice, Snacks: Trail mix"
160,67,Female,4,1509,"Breakfast: Smoothie with spinach, banana, Lunch: Quinoa salad with feta cheese, Dinner: Grilled fish, salad, Snacks: Rice cakes with peanut butter"
165,89,Female,2,1600,"Breakfast: Scrambled eggs, whole wheat bread, Lunch: Grilled salmon with quinoa, Dinner: Stir-fried tofu, brown rice, Snacks: Trail mix"
188,113,Male,1,1369,"Breakfast: Greek yogurt with berries, Lunch: Turkey sandwich, veggies, Dinner: Grilled chicken salad, Snacks: Carrot sticks with hummus"
170,45,Male,0,1327,"Breakfast: Oatmeal with fruits, Lunch: Oatmeal with fruits, Dinner: Oatmeal with fruits, Snacks: Carrot sticks with hummus"
179,55,Female,0,2148,"Breakfast: Oatmeal with fruits, Lunch: Low-fat yogurt with honey, Dinner: Fruit smoothie, Snacks: Handful of mixed nuts"
167,118,Male,5,2660,"Breakfast: Fish with steamed vegetables, brown rice, Lunch: Protein shake, almond butter toast, Dinner: Lean beef, roasted vegetables, Snacks: Apple slices with almond butter"
180,74,Female,4,2201,"Breakfast: Smoothie with spinach, banana, Lunch: Grilled fish, salad, Dinner: Chicken breast with steamed veggies, Snacks: Apple slices with almond butter"
182,113,Female,1,2621,"Breakfast: Turkey sandwich, veggies, Lunch: Turkey sandwich, veggies, Dinner: Grilled chicken salad, Snacks: Carrot sticks with hummus"
155,91,Male,2,2546,"Breakfast: Grilled salmon with quinoa, Lunch: Scrambled eggs, whole wheat bread, Dinner: Stir-fried tofu, brown rice, Snacks: Carrot sticks with hummus"
157,70,Female,3,1200,"Breakfast: Greek yogurt with nuts, Lunch: Grilled chicken, quinoa, Dinner: Greek yogurt with nuts, Snacks: Greek yogurt with granola"
176,72,Female,1,2797,"Breakfast: Turkey sandwich, veggies, Lunch: Turkey sandwich, veggies, Dinner: Greek yogurt with berries, Snacks: Greek yogurt with granola"
189,101,Male,2,1772,"Breakfast: Chicken wrap with veggies, Lunch: Scrambled eggs, whole wheat bread, Dinner: Stir-fried tofu, brown rice, Snacks: Handful of mixed nuts"
175,116,Male,3,2727,"Breakfast: Greek yogurt with nuts, Lunch: Baked sweet potatoes with chicken, Dinner: Grilled chicken, quinoa, Snacks: Carrot sticks with hummus"
184,99,Male,3,2360,"Breakfast: Baked sweet potatoes with chicken, Lunch: Greek yogurt with nuts, Dinner: Grilled chicken, quinoa, Snacks: Carrot sticks with hummus"
153,44,Male,4,1675,"Breakfast: Smoothie with spinach, banana, Lunch: Quinoa salad with feta cheese, Dinner: Quinoa salad with feta cheese, Snacks: Rice cakes with peanut butter"
154,83,Female,0,2342,"Breakfast: Oatmeal with fruits, Lunch: Low-fat yogurt with honey, Dinner: Fruit smoothie, Snacks: Trail mix"
177,89,Female,3,1562,"Breakfast: Baked salmon, steamed broccoli, Lunch: Baked sweet potatoes with chicken, Dinner: Baked sweet potatoes with chicken, Snacks: Trail mix"
173,108,Male,3,1638,"Breakfast: Baked sweet potatoes with chicken, Lunch: Grilled chicken, quinoa, Dinner: Baked salmon, steamed broccoli, Snacks: Apple slices with almond butter"
162,60,Male,4,2373,"Breakfast: Quinoa salad with feta cheese, Lunch: Smoothie with spinach, banana, Dinner: Quinoa salad with feta cheese, Snacks: Handful of mixed nuts"
170,112,Male,4,1991,"Breakfast: Smoothie with spinach, banana, Lunch: Grilled fish, salad, Dinner: Grilled fish, salad, Snacks: Apple slices with almond butter"
183,43,Female,3,2689,"Breakfast: Grilled chicken, quinoa, Lunch: Baked sweet potatoes with chicken, Dinner: Baked salmon, steamed broccoli, Snacks: Greek yogurt with granola"
159,95,Female,4,2854,"Breakfast: Quinoa salad with feta cheese, Lunch: Smoothie with spinach, banana, Dinner: Smoothie with spinach, banana, Snacks: Greek yogurt with granola"
181,101,Female,0,1658,"Breakfast: Boiled egg with spinach, Lunch: Fruit smoothie, Dinner: Boiled egg with spinach, Snacks: Protein bar"
172,78,Female,0,2276,"Breakfast: Oatmeal with fruits, Lunch: Low-fat yogurt with honey, Dinner: Oatmeal with fruits, Snacks: Rice cakes with peanut butter"
153,81,Female,2,1463,"Breakfast: Grilled salmon with quinoa, Lunch: Chicken wrap with veggies, Dinner: Scrambled eggs, whole wheat bread, Snacks: Trail mix"
177,76,Male,4,2492,"Breakfast: Chicken breast with steamed veggies, Lunch: Chicken breast with steamed veggies, Dinner: Grilled fish, salad, Snacks: Rice cakes with peanut butter"
179,48,Male,1,2461,"Breakfast: Whole grain toast, avocado, Lunch: Whole grain toast, avocado, Dinner: Turkey sandwich, veggies, Snacks: Apple slices with almond butter"
167,80,Female,1,2655,"Breakfast: Greek yogurt with berries, Lunch: Whole grain toast, avocado, Dinner: Whole grain toast, avocado, Snacks: Carrot sticks with hummus"
180,80,Male,1,2822,"Breakfast: Greek yogurt with berries, Lunch: Greek yogurt with berries, Dinner: Whole grain toast, avocado, Snacks: Greek yogurt with granola"
152,101,Female,0,2184,"Breakfast: Oatmeal with fruits, Lunch: Boiled egg with spinach, Dinner: Low-fat yogurt with honey, Snacks: Greek yogurt with granola"
189,65,Male,4,2440,"Breakfast: Chicken breast with steamed veggies, Lunch: Smoothie with spinach, banana, Dinner: Grilled fish, salad, Snacks: Trail mix"
165,107,Male,0,2074,"Breakfast: Low-fat yogurt with honey, Lunch: Oatmeal with fruits, Dinner: Oatmeal with fruits, Snacks: Handful of mixed nuts"
187,94,Male,1,1774,"Breakfast: Greek yogurt with berries, Lunch: Whole grain toast, avocado, Dinner: Greek yogurt with berries, Snacks: Rice cakes with peanut butter"
181,73,Male,4,2284,"Breakfast: Quinoa salad with feta cheese, Lunch: Quinoa salad with feta cheese, Dinner: Quinoa salad with feta cheese, Snacks: Greek yogurt with granola"
176,100,Male,1,2333,"Breakfast: Greek yogurt with berries, Lunch: Whole grain toast, avocado, Dinner: Greek yogurt with berries, Snacks: Rice cakes with peanut butter"
190,76,Female,1,2657,"Breakfast: Turkey sandwich, veggies, Lunch: Whole grain toast, avocado, Dinner: Whole grain toast, avocado, Snacks: Handful of mixed nuts"
156,56,Male,5,2805,"Breakfast: Protein bar, Lunch: Protein shake, almond butter toast, Dinner: Protein shake, almond butter toast, Snacks: Apple slices with almond butter"
187,99,Female,1,1656,"Breakfast: Greek yogurt with berries, Lunch: Turkey sandwich, veggies, Dinner: Grilled chicken salad, Snacks: Handful of mixed nuts"
176,103,Female,0,2008,"Breakfast: Low-fat yogurt with honey, Lunch: Boiled egg with spinach, Dinner: Fruit smoothie, Snacks: Apple slices with almond butter"
184,98,Male,2,1223,"Breakfast: Chicken wrap with veggies, Lunch: Chicken wrap with veggies, Dinner: Stir-fried tofu, brown rice, Snacks: Apple slices with almond butter"
171,110,Male,4,1200,"Breakfast: Chicken breast with steamed veggies, Lunch: Chicken breast with steamed veggies, Dinner: Quinoa salad with feta cheese, Snacks: Handful of mixed nuts"
179,94,Female,0,2277,"Breakfast: Boiled egg with spinach, Lunch: Boiled egg with spinach, Dinner: Fruit smoothie, Snacks: Handful of mixed nuts"
182,41,Female,3,1747,"Breakfast: Baked salmon, steamed broccoli, Lunch: Baked sweet potatoes with chicken, Dinner: Grilled chicken, quinoa, Snacks: Trail mix"
167,119,Male,1,2846,"Breakfast: Turkey sandwich, veggies, Lunch: Grilled chicken salad, Dinner: Grilled chicken salad, Snacks: Trail mix"
154,66,Female,0,2219,"Breakfast: Oatmeal with fruits, Lunch: Boiled egg with spinach, Dinner: Fruit smoothie, Snacks: Handful of mixed nuts"
185,57,Male,0,1279,"Breakfast: Low-fat yogurt with honey, Lunch: Fruit smoothie, Dinner: Boiled egg with spinach, Snacks: Handful of mixed nuts"
164,80,Female,5,2204,"Breakfast: Protein shake, almond butter toast, Lunch: Protein bar, Dinner: Protein bar, Snacks: Trail mix"
180,60,Male,3,1262,"Breakfast: Grilled chicken, quinoa, Lunch: Baked salmon, steamed broccoli, Dinner: Greek yogurt with nuts, Snacks: Handful of mixed nuts"
170,73,Male,3,2777,"Breakfast: Baked salmon, steamed broccoli, Lunch: Baked sweet potatoes with chicken, Dinner: Greek yogurt with nuts, Snacks: Greek yogurt with granola"
152,76,Female,5,2743,"Breakfast: Fish with steamed vegetables, brown rice, Lunch: Protein bar, Dinner: Protein bar, Snacks: Handful of mixed nuts"
162,85,Male,3,1541,"Breakfast: Baked salmon, steamed broccoli, Lunch: Baked salmon, steamed broccoli, Dinner: Grilled chicken, quinoa, Snacks: Handful of mixed nuts"
155,65,Female,4,2047,"Breakfast: Smoothie with spinach, banana, Lunch: Smoothie with spinach, banana, Dinner: Grilled fish, salad, Snacks: Trail mix"
159,62,Male,3,2000,"Breakfast: Baked sweet potatoes with chicken, Lunch: Baked salmon, steamed broccoli, Dinner: Greek yogurt with nuts, Snacks: Trail mix"
163,91,Female,0,3000,"Breakfast: Fruit smoothie, Lunch: Low-fat yogurt with honey, Dinner: Boiled egg with spinach, Snacks: Handful of mixed nuts"
167,43,Female,0,1487,"Breakfast: Oatmeal with fruits, Lunch: Low-fat yogurt with honey, Dinner: Low-fat yogurt with honey, Snacks: Carrot sticks with hummus"
186,108,Male,2,1962,"Breakfast: Grilled salmon with quinoa, Lunch: Scrambled eggs, whole wheat bread, Dinner: Chicken wrap with veggies, Snacks: Handful of mixed nuts"
185,62,Female,0,2854,"Breakfast: Fruit smoothie, Lunch: Boiled egg with spinach, Dinner: Fruit smoothie, Snacks: Handful of mixed nuts"
162,78,Male,3,1323,"Breakfast: Grilled chicken, quinoa, Lunch: Grilled chicken, quinoa, Dinner: Baked salmon, steamed broccoli, Snacks: Apple slices with almond butter"
164,48,Male,2,1479,"Breakfast: Stir-fried tofu, brown rice, Lunch: Chicken wrap with veggies, Dinner: Stir-fried tofu, brown rice, Snacks: Apple slices with almond butter"
168,74,Male,0,2837,"Breakfast: Fruit smoothie, Lunch: Oatmeal with fruits, Dinner: Boiled egg with spinach, Snacks: Handful of mixed nuts"
183,78,Male,4,2184,"Breakfast: Grilled fish, salad, Lunch: Grilled fish, salad, Dinner: Quinoa salad with feta cheese, Snacks: Trail mix"
160,88,Male,3,2714,"Breakfast: Baked salmon, steamed broccoli, Lunch: Baked salmon, steamed broccoli, Dinner: Baked sweet potatoes with chicken, Snacks: Greek yogurt with granola"
173,86,Female,1,1692,"Breakfast: Grilled chicken salad, Lunch: Grilled chicken salad, Dinner: Grilled chicken salad, Snacks: Handful of mixed nuts"
189,71,Male,1,2214,"Breakfast: Greek yogurt with berries, Lunch: Whole grain toast, avocado, Dinner: Grilled chicken salad, Snacks: Protein bar"
151,49,Female,4,2581,"Breakfast: Quinoa salad with feta cheese, Lunch: Chicken breast with steamed veggies, Dinner: Chicken breast with steamed veggies, Snacks: Handful of mixed nuts"
182,62,Female,4,1674,"Breakfast: Grilled fish, salad, Lunch: Chicken breast with steamed veggies, Dinner: Smoothie with spinach, banana, Snacks: Trail mix"
186,81,Female,0,2645,"Breakfast: Oatmeal with fruits, Lunch: Boiled egg with spinach, Dinner: Low-fat yogurt with honey, Snacks: Handful of mixed nuts"
175,113,Female,1,2195,"Breakfast: Greek yogurt with berries, Lunch: Whole grain toast, avocado, Dinner: Greek yogurt with berries, Snacks: Trail mix"
184,71,Male,4,1574,"Breakfast: Grilled fish, salad, Lunch: Grilled fish, salad, Dinner: Chicken breast with steamed veggies, Snacks: Greek yogurt with granola"
183,58,Female,1,1439,"Breakfast: Whole grain toast, avocado, Lunch: Whole grain toast, avocado, Dinner: Whole grain toast, avocado, Snacks: Greek yogurt with granola"
173,60,Male,5,1416,"Breakfast: Lean beef, roasted vegetables, Lunch: Protein shake, almond butter toast, Dinner: Protein bar, Snacks: Apple slices with almond butter"
166,119,Female,3,2463,"Breakfast: Greek yogurt with nuts, Lunch: Baked salmon, steamed broccoli, Dinner: Baked salmon, steamed broccoli, Snacks: Handful of mixed nuts"
166,72,Female,0,2234,"Breakfast: Boiled egg with spinach, Lunch: Oatmeal with fruits, Dinner: Fruit smoothie, Snacks: Protein bar"
167,92,Female,0,2752,"Breakfast: Low-fat yogurt with honey, Lunch: Oatmeal with fruits, Dinner: Fruit smoothie, Snacks: Protein bar"
183,104,Male,0,1927,"Breakfast: Boiled egg with spinach, Lunch: Low-fat yogurt with honey, Dinner: Fruit smoothie, Snacks: Protein bar"
177,72,Female,2,2504,"Breakfast: Grilled salmon with quinoa, Lunch: Chicken wrap with veggies, Dinner: Chicken wrap with veggies, Snacks: Trail mix"
167,103,Female,0,2053,"Breakfast: Low-fat yogurt with honey, Lunch: Oatmeal with fruits, Dinner: Low-fat yogurt with honey, Snacks: Rice cakes with peanut butter"
183,69,Female,0,2736,"Breakfast: Low-fat yogurt with honey, Lunch: Oatmeal with fruits, Dinner: Fruit smoothie, Snacks: Carrot sticks with hummus"
153,109,Female,3,2959,"Breakfast: Baked salmon, steamed broccoli, Lunch: Baked salmon, steamed broccoli, Dinner: Baked sweet potatoes with chicken, Snacks: Rice cakes with peanut butter"
172,92,Male,2,2582,"Breakfast: Stir-fried tofu, brown rice, Lunch: Chicken wrap with veggies, Dinner: Scrambled eggs, whole wheat bread, Snacks: Protein bar"
164,45,Male,0,1200,"Breakfast: Low-fat yogurt with honey, Lunch: Oatmeal with fruits, Dinner: Boiled egg with spinach, Snacks: Rice cakes with peanut butter"
169,77,Male,4,2567,"Breakfast: Quinoa salad with feta cheese, Lunch: Grilled fish, salad, Dinner: Chicken breast with steamed veggies, Snacks: Handful of mixed nuts"
167,67,Female,0,1288,"Breakfast: Fruit smoothie, Lunch: Boiled egg with spinach, Dinner: Low-fat yogurt with honey, Snacks: Carrot sticks with hummus"
163,82,Female,3,1254,"Breakfast: Greek yogurt with nuts, Lunch: Greek yogurt with nuts, Dinner: Baked salmon, steamed broccoli, Snacks: Protein bar"
174,46,Female,5,1952,"Breakfast: Lean beef, roasted vegetables, Lunch: Fish with steamed vegetables, brown rice, Dinner: Fish with steamed vegetables, brown rice, Snacks: Trail mix"
166,96,Male,3,2914,"Breakfast: Greek yogurt with nuts, Lunch: Baked salmon, steamed broccoli, Dinner: Greek yogurt with nuts, Snacks: Apple slices with almond butter"
165,44,Male,5,2450,"Breakfast: Protein bar, Lunch: Protein bar, Dinner: Fish with steamed vegetables, brown rice, Snacks: Rice cakes with peanut butter"
150,89,Female,3,1637,"Breakfast: Baked sweet potatoes with chicken, Lunch: Grilled chicken, quinoa, Dinner: Grilled chicken, quinoa, Snacks: Rice cakes with peanut butter"
178,72,Female,3,1644,"Breakfast: Greek yogurt with nuts, Lunch: Greek yogurt with nuts, Dinner: Baked sweet potatoes with chicken, Snacks: Trail mix"
177,53,Male,5,1520,"Breakfast: Protein bar, Lunch: Protein bar, Dinner: Protein bar, Snacks: Trail mix"
180,100,Female,0,3000,"Breakfast: Low-fat yogurt with honey, Lunch: Oatmeal with fruits, Dinner: Oatmeal with fruits, Snacks: Protein bar"
156,106,Female,3,2747,"Breakfast: Baked sweet potatoes with chicken, Lunch: Baked salmon, steamed broccoli, Dinner: Baked salmon, steamed broccoli, Snacks: Handful of mixed nuts"
168,109,Male,0,2081,"Breakfast: Oatmeal with fruits, Lunch: Low-fat yogurt with honey, Dinner: Fruit smoothie, Snacks: Protein bar"
172,105,Female,5,2577,"Breakfast: Protein shake, almond butter toast, Lunch: Lean beef, roasted vegetables, Dinner: Protein bar, Snacks: Trail mix"
161,101,Male,5,2278,"Breakfast: Protein bar, Lunch: Lean beef, roasted vegetables, Dinner: Protein bar, Snacks: Rice cakes with peanut butter"
171,67,Female,0,1208,"Breakfast: Boiled egg with spinach, Lunch: Low-fat yogurt with honey, Dinner: Low-fat yogurt with honey, Snacks: Carrot sticks with hummus"
186,107,Male,3,2204,"Breakfast: Grilled chicken, quinoa, Lunch: Greek yogurt with nuts, Dinner: Greek yogurt with nuts, Snacks: Greek yogurt with granola"
176,51,Female,4,2132,"Breakfast: Quinoa salad with feta cheese, Lunch: Grilled fish, salad, Dinner: Quinoa salad with feta cheese, Snacks: Carrot sticks with hummus"
165,120,Male,4,1755,"Breakfast: Grilled fish, salad, Lunch: Grilled fish, salad, Dinner: Chicken breast with steamed veggies, Snacks: Handful of mixed nuts"
177,113,Male,3,1293,"Breakfast: Grilled chicken, quinoa, Lunch: Baked sweet potatoes with chicken, Dinner: Baked sweet potatoes with chicken, Snacks: Greek yogurt with granola"
168,86,Female,5,1421,"Breakfast: Fish with steamed vegetables, brown rice, Lunch: Protein shake, almond butter toast, Dinner: Protein shake, almond butter toast, Snacks: Carrot sticks with hummus"
188,52,Female,2,2738,"Breakfast: Grilled salmon with quinoa, Lunch: Chicken wrap with veggies, Dinner: Stir-fried tofu, brown rice, Snacks: Protein bar"
161,45,Male,4,2685,"Breakfast: Smoothie with spinach, banana, Lunch: Quinoa salad with feta cheese, Dinner: Grilled fish, salad, Snacks: Carrot sticks with hummus"
165,70,Female,1,2270,"Breakfast: Greek yogurt with berries, Lunch: Whole grain toast, avocado, Dinner: Whole grain toast, avocado, Snacks: Protein bar"
163,99,Male,0,1670,"Breakfast: Oatmeal with fruits, Lunch: Oatmeal with fruits, Dinner: Boiled egg with spinach, Snacks: Protein bar"
189,56,Female,0,2914,"Breakfast: Boiled egg with spinach, Lunch: Low-fat yogurt with honey, Dinner: Oatmeal with fruits, Snacks: Rice cakes with peanut butter"
156,48,Female,2,1727,"Breakfast: Scrambled eggs, whole wheat bread, Lunch: Scrambled eggs, whole wheat bread, Dinner: Chicken wrap with veggies, Snacks: Rice cakes with peanut butter"
